,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Data
0,Hermanus,-34.4187,19.2345,292.04,86,4,0.45,ZA,1612042581
1,Cape Town,-33.9258,18.4232,294.82,73,0,2.06,ZA,1612042458
2,Kaitangata,-46.2817,169.8464,289.26,70,76,1.79,NZ,1612042023
3,Hasaki,35.7333,140.8333,269.15,80,20,1.03,JP,1612041809
4,Yangi Marg`ilon,40.4272,71.7189,275.15,51,100,2.06,UZ,1612042039
5,Punta Arenas,-53.15,-70.9167,287.15,51,0,11.83,CL,1612042582
6,Yumen,40.2833,97.2,268.04,73,0,10.87,CN,1612042582
7,Tuktoyaktuk,69.4541,-133.0374,236.15,67,40,1.03,CA,1612042582
8,Namatanai,-3.6667,152.4333,301.3,73,100,5.46,PG,1612042611
9,Puerto Ayora,-0.7393,-90.3518,303.15,62,0,6.17,EC,1612042583
10,Kavieng,-2.5744,150.7967,301.27,74,100,6.39,PG,1612041789
11,Castro,-24.7911,-50.0119,292.03,97,99,1.26,BR,1612042583
12,Barrow,71.2906,-156.7887,250.15,70,90,4.63,US,1612042583
13,Bantry,51.6833,-9.45,277.15,87,75,7.72,IE,1612042583
14,Torbay,47.6666,-52.7314,272.04,86,90,4.63,CA,1612042521
15,Bluff,-46.6,168.3333,285.95,74,99,1.86,NZ,1612042584
16,Thayetmyo,19.3167,95.1833,290.5,47,84,1.08,MM,1612042584
17,Ushuaia,-54.8,-68.3,285.15,54,20,10.8,AR,1612042584
18,La Asuncion,11.0333,-63.8628,298.74,82,42,6.34,VE,1612042584
19,Arrondissement d'Ajaccio,42.0,8.9167,285.15,76,75,5.14,FR,1612042584
20,Constantine,36.365,6.6147,286.15,67,75,6.17,DZ,1612042585
21,Thompson,55.7435,-97.8558,263.15,85,90,2.06,CA,1612042613
22,Portland,45.5234,-122.6762,283.15,88,100,0.45,US,1612042392
23,Yellowknife,62.456,-114.3525,249.26,77,75,2.06,CA,1612042585
24,Ilebo,-4.3167,20.5833,295.75,95,100,2.43,CD,1612042585
25,Labytnangi,66.6572,66.4183,244.62,87,100,2.87,RU,1612042585
26,Chara,56.9064,118.2631,239.1,80,100,0.43,RU,1612042585
27,Albany,42.6001,-73.9662,266.48,50,13,3.58,US,1612042528
