,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Data
0,Busselton,-33.65,115.3333,293.71,58,25,1.79,AU,1611798959
1,Albany,42.6001,-73.9662,270.93,61,99,0.45,US,1611798966
2,Khatanga,71.9667,102.5,237.75,80,0,3.03,RU,1611798966
3,Hong Kong,22.2855,114.1577,292.04,77,3,4.67,HK,1611798966
4,Rikitea,-23.1203,-134.9692,299.57,73,100,4.64,PF,1611798959
5,Puerto Ayora,-0.7393,-90.3518,298.71,92,32,1.34,EC,1611798940
6,Maniitsoq,65.4167,-52.9,268.58,77,0,3.18,GL,1611798967
7,Mataura,-46.1927,168.8643,285.93,65,93,8.49,NZ,1611798967
8,Ushuaia,-54.8,-68.3,278.15,87,75,6.17,AR,1611798745
9,Hobart,-42.8794,147.3294,293.15,45,75,4.63,AU,1611798750
10,Punta Arenas,-53.15,-70.9167,279.15,87,90,4.12,CL,1611798729
